date,Omicron - BA5,CumOmicron - BA5
31/01/2021,0.0,0.0
01/02/2021,0.0,0.0
02/02/2021,0.0,0.0
03/02/2021,0.0,0.0
04/02/2021,0.0,0.0
05/02/2021,0.0,0.0
06/02/2021,0.0,0.0
07/02/2021,0.0,0.0
08/02/2021,0.0,0.0
09/02/2021,0.0,0.0
10/02/2021,0.0,0.0
11/02/2021,0.0,0.0
12/02/2021,0.0,0.0
13/02/2021,0.0,0.0
14/02/2021,0.0,0.0
15/02/2021,0.0,0.0
16/02/2021,0.0,0.0
17/02/2021,0.0,0.0
18/02/2021,0.0,0.0
19/02/2021,0.0,0.0
20/02/2021,0.0,0.0
21/02/2021,0.0,0.0
22/02/2021,0.0,0.0
23/02/2021,0.0,0.0
24/02/2021,0.0,0.0
25/02/2021,0.0,0.0
26/02/2021,0.0,0.0
27/02/2021,0.0,0.0
28/02/2021,0.0,0.0
01/03/2021,0.0,0.0
02/03/2021,0.0,0.0
03/03/2021,0.0,0.0
04/03/2021,0.0,0.0
05/03/2021,0.0,0.0
06/03/2021,0.0,0.0
07/03/2021,0.0,0.0
08/03/2021,0.0,0.0
09/03/2021,0.0,0.0
10/03/2021,0.0,0.0
11/03/2021,0.0,0.0
12/03/2021,0.0,0.0
13/03/2021,0.0,0.0
14/03/2021,0.0,0.0
15/03/2021,0.0,0.0
16/03/2021,0.0,0.0
17/03/2021,0.0,0.0
18/03/2021,0.0,0.0
19/03/2021,0.0,0.0
20/03/2021,0.0,0.0
21/03/2021,0.0,0.0
22/03/2021,0.0,0.0
23/03/2021,0.0,0.0
24/03/2021,0.0,0.0
25/03/2021,0.0,0.0
26/03/2021,0.0,0.0
27/03/2021,0.0,0.0
28/03/2021,0.0,0.0
29/03/2021,0.0,0.0
30/03/2021,0.0,0.0
31/03/2021,0.0,0.0
01/04/2021,0.0,0.0
02/04/2021,0.0,0.0
03/04/2021,0.0,0.0
04/04/2021,0.0,0.0
05/04/2021,0.0,0.0
06/04/2021,0.0,0.0
07/04/2021,0.0,0.0
08/04/2021,0.0,0.0
09/04/2021,0.0,0.0
10/04/2021,0.0,0.0
11/04/2021,0.0,0.0
12/04/2021,0.0,0.0
13/04/2021,0.0,0.0
14/04/2021,0.0,0.0
15/04/2021,0.0,0.0
16/04/2021,0.0,0.0
17/04/2021,0.0,0.0
18/04/2021,0.0,0.0
19/04/2021,0.0,0.0
20/04/2021,0.0,0.0
21/04/2021,0.0,0.0
22/04/2021,0.0,0.0
23/04/2021,0.0,0.0
24/04/2021,0.0,0.0
25/04/2021,0.0,0.0
26/04/2021,0.0,0.0
27/04/2021,0.0,0.0
28/04/2021,0.0,0.0
29/04/2021,0.0,0.0
30/04/2021,0.0,0.0
01/05/2021,0.0,0.0
02/05/2021,0.0,0.0
03/05/2021,0.0,0.0
04/05/2021,0.0,0.0
05/05/2021,0.0,0.0
06/05/2021,0.0,0.0
07/05/2021,0.0,0.0
08/05/2021,0.0,0.0
09/05/2021,0.0,0.0
10/05/2021,0.0,0.0
11/05/2021,0.0,0.0
12/05/2021,0.0,0.0
13/05/2021,0.0,0.0
14/05/2021,0.0,0.0
15/05/2021,0.0,0.0
16/05/2021,0.0,0.0
17/05/2021,0.0,0.0
18/05/2021,0.0,0.0
19/05/2021,0.0,0.0
20/05/2021,0.0,0.0
21/05/2021,0.0,0.0
22/05/2021,0.0,0.0
23/05/2021,0.0,0.0
24/05/2021,0.0,0.0
25/05/2021,0.0,0.0
26/05/2021,0.0,0.0
27/05/2021,0.0,0.0
28/05/2021,0.0,0.0
29/05/2021,0.0,0.0
30/05/2021,0.0,0.0
31/05/2021,0.0,0.0
01/06/2021,0.0,0.0
02/06/2021,0.0,0.0
03/06/2021,0.0,0.0
04/06/2021,0.0,0.0
05/06/2021,0.0,0.0
06/06/2021,0.0,0.0
07/06/2021,0.0,0.0
08/06/2021,0.0,0.0
09/06/2021,0.0,0.0
10/06/2021,0.0,0.0
11/06/2021,0.0,0.0
12/06/2021,0.0,0.0
13/06/2021,0.0,0.0
14/06/2021,0.0,0.0
15/06/2021,0.0,0.0
16/06/2021,0.0,0.0
17/06/2021,0.0,0.0
18/06/2021,0.0,0.0
19/06/2021,0.0,0.0
20/06/2021,0.0,0.0
21/06/2021,0.0,0.0
22/06/2021,0.0,0.0
23/06/2021,0.0,0.0
24/06/2021,0.0,0.0
25/06/2021,0.0,0.0
26/06/2021,0.0,0.0
27/06/2021,0.0,0.0
28/06/2021,0.0,0.0
29/06/2021,0.0,0.0
30/06/2021,0.0,0.0
01/07/2021,0.0,0.0
02/07/2021,0.0,0.0
03/07/2021,0.0,0.0
04/07/2021,0.0,0.0
05/07/2021,0.0,0.0
06/07/2021,0.0,0.0
07/07/2021,0.0,0.0
08/07/2021,0.0,0.0
09/07/2021,0.0,0.0
10/07/2021,0.0,0.0
11/07/2021,0.0,0.0
12/07/2021,0.0,0.0
13/07/2021,0.0,0.0
14/07/2021,0.0,0.0
15/07/2021,0.0,0.0
16/07/2021,0.0,0.0
17/07/2021,0.0,0.0
18/07/2021,0.0,0.0
19/07/2021,0.0,0.0
20/07/2021,0.0,0.0
21/07/2021,0.0,0.0
22/07/2021,0.0,0.0
23/07/2021,0.0,0.0
24/07/2021,0.0,0.0
25/07/2021,0.0,0.0
26/07/2021,0.0,0.0
27/07/2021,0.0,0.0
28/07/2021,0.0,0.0
29/07/2021,0.0,0.0
30/07/2021,0.0,0.0
31/07/2021,0.0,0.0
01/08/2021,0.0,0.0
02/08/2021,0.0,0.0
03/08/2021,0.0,0.0
04/08/2021,0.0,0.0
05/08/2021,0.0,0.0
06/08/2021,0.0,0.0
07/08/2021,0.0,0.0
08/08/2021,0.0,0.0
09/08/2021,0.0,0.0
10/08/2021,0.0,0.0
11/08/2021,0.0,0.0
12/08/2021,0.0,0.0
13/08/2021,0.0,0.0
14/08/2021,0.0,0.0
15/08/2021,0.0,0.0
16/08/2021,0.0,0.0
17/08/2021,0.0,0.0
18/08/2021,0.0,0.0
19/08/2021,0.0,0.0
20/08/2021,0.0,0.0
21/08/2021,0.0,0.0
22/08/2021,0.0,0.0
23/08/2021,0.0,0.0
24/08/2021,0.0,0.0
25/08/2021,0.0,0.0
26/08/2021,0.0,0.0
27/08/2021,0.0,0.0
28/08/2021,0.0,0.0
29/08/2021,0.0,0.0
30/08/2021,0.0,0.0
31/08/2021,0.0,0.0
01/09/2021,0.0,0.0
02/09/2021,0.0,0.0
03/09/2021,0.0,0.0
04/09/2021,0.0,0.0
05/09/2021,0.0,0.0
06/09/2021,0.0,0.0
07/09/2021,0.0,0.0
08/09/2021,0.0,0.0
09/09/2021,0.0,0.0
10/09/2021,0.0,0.0
11/09/2021,0.0,0.0
12/09/2021,0.0,0.0
13/09/2021,0.0,0.0
14/09/2021,0.0,0.0
15/09/2021,0.0,0.0
16/09/2021,0.0,0.0
17/09/2021,0.0,0.0
18/09/2021,0.0,0.0
19/09/2021,0.0,0.0
20/09/2021,0.0,0.0
21/09/2021,0.0,0.0
22/09/2021,0.0,0.0
23/09/2021,0.0,0.0
24/09/2021,0.0,0.0
25/09/2021,0.0,0.0
26/09/2021,0.0,0.0
27/09/2021,0.0,0.0
28/09/2021,0.0,0.0
29/09/2021,0.0,0.0
30/09/2021,0.0,0.0
01/10/2021,0.0,0.0
02/10/2021,0.0,0.0
03/10/2021,0.0,0.0
04/10/2021,0.0,0.0
05/10/2021,0.0,0.0
06/10/2021,0.0,0.0
07/10/2021,0.0,0.0
08/10/2021,0.0,0.0
09/10/2021,0.0,0.0
10/10/2021,0.0,0.0
11/10/2021,0.0,0.0
12/10/2021,0.0,0.0
13/10/2021,0.0,0.0
14/10/2021,0.0,0.0
15/10/2021,0.0,0.0
16/10/2021,0.0,0.0
17/10/2021,0.0,0.0
18/10/2021,0.0,0.0
19/10/2021,0.0,0.0
20/10/2021,0.0,0.0
21/10/2021,0.0,0.0
22/10/2021,0.0,0.0
23/10/2021,0.0,0.0
24/10/2021,0.0,0.0
25/10/2021,0.0,0.0
26/10/2021,0.0,0.0
27/10/2021,0.0,0.0
28/10/2021,0.0,0.0
29/10/2021,0.0,0.0
30/10/2021,0.0,0.0
31/10/2021,0.0,0.0
01/11/2021,0.0,0.0
02/11/2021,0.0,0.0
03/11/2021,0.0,0.0
04/11/2021,0.0,0.0
05/11/2021,0.0,0.0
06/11/2021,0.0,0.0
07/11/2021,0.0,0.0
08/11/2021,0.0,0.0
09/11/2021,0.0,0.0
10/11/2021,0.0,0.0
11/11/2021,0.0,0.0
12/11/2021,0.0,0.0
13/11/2021,0.0,0.0
14/11/2021,0.0,0.0
15/11/2021,0.0,0.0
16/11/2021,0.0,0.0
17/11/2021,0.0,0.0
18/11/2021,0.0,0.0
19/11/2021,0.0,0.0
20/11/2021,0.0,0.0
21/11/2021,0.0,0.0
22/11/2021,0.0,0.0
23/11/2021,0.0,0.0
24/11/2021,0.0,0.0
25/11/2021,0.0,0.0
26/11/2021,0.0,0.0
27/11/2021,0.0,0.0
28/11/2021,0.0,0.0
29/11/2021,0.0,0.0
30/11/2021,0.0,0.0
01/12/2021,0.0,0.0
02/12/2021,0.0,0.0
03/12/2021,0.0,0.0
04/12/2021,0.0,0.0
05/12/2021,0.0,0.0
06/12/2021,0.0,0.0
07/12/2021,0.0,0.0
08/12/2021,0.0,0.0
09/12/2021,0.0,0.0
10/12/2021,0.0,0.0
11/12/2021,0.0,0.0
12/12/2021,0.0,0.0
13/12/2021,0.0,0.0
14/12/2021,0.0,0.0
15/12/2021,0.0,0.0
16/12/2021,0.0,0.0
17/12/2021,0.0,0.0
18/12/2021,0.0,0.0
19/12/2021,0.0,0.0
20/12/2021,0.0,0.0
21/12/2021,0.0,0.0
22/12/2021,0.0,0.0
23/12/2021,0.0,0.0
24/12/2021,0.0,0.0
25/12/2021,0.0,0.0
26/12/2021,0.0,0.0
27/12/2021,0.0,0.0
28/12/2021,0.0,0.0
29/12/2021,0.0,0.0
30/12/2021,0.0,0.0
31/12/2021,0.0,0.0
01/01/2022,0.0,0.0
02/01/2022,0.0,0.0
03/01/2022,0.0,0.0
04/01/2022,0.0,0.0
05/01/2022,0.0,0.0
06/01/2022,0.0,0.0
07/01/2022,0.0,0.0
08/01/2022,0.0,0.0
09/01/2022,0.0,0.0
10/01/2022,0.0,0.0
11/01/2022,0.0,0.0
12/01/2022,0.0,0.0
13/01/2022,0.0,0.0
14/01/2022,0.0,0.0
15/01/2022,0.0,0.0
16/01/2022,0.0,0.0
17/01/2022,0.0,0.0
18/01/2022,0.0,0.0
19/01/2022,0.0,0.0
20/01/2022,0.0,0.0
21/01/2022,0.0,0.0
22/01/2022,0.0,0.0
23/01/2022,0.0,0.0
24/01/2022,0.0,0.0
25/01/2022,0.0,0.0
26/01/2022,1.0,1.0
27/01/2022,1.0,2.0
28/01/2022,1.0,3.0
29/01/2022,1.0,4.0
30/01/2022,1.0,5.0
31/01/2022,1.0,6.0
01/02/2022,1.0,7.0
02/02/2022,1.0,8.0
03/02/2022,0.0,8.0
04/02/2022,0.0,8.0
05/02/2022,0.0,8.0
06/02/2022,0.0,8.0
07/02/2022,0.0,8.0
08/02/2022,0.0,8.0
09/02/2022,0.0,8.0
10/02/2022,0.0,8.0
11/02/2022,0.0,8.0
12/02/2022,0.0,8.0
13/02/2022,0.0,8.0
14/02/2022,0.0,8.0
15/02/2022,0.0,8.0
16/02/2022,0.0,8.0
17/02/2022,0.0,8.0
18/02/2022,0.0,8.0
19/02/2022,0.0,8.0
20/02/2022,0.0,8.0
21/02/2022,0.0,8.0
22/02/2022,0.0,8.0
23/02/2022,0.0,8.0
24/02/2022,0.0,8.0
25/02/2022,0.0,8.0
26/02/2022,0.0,8.0
27/02/2022,0.0,8.0
28/02/2022,0.0,8.0
01/03/2022,0.0,8.0
02/03/2022,0.0,8.0
03/03/2022,0.0,8.0
04/03/2022,0.0,8.0
05/03/2022,0.0,8.0
06/03/2022,0.0,8.0
07/03/2022,0.0,8.0
08/03/2022,0.0,8.0
09/03/2022,0.0,8.0
10/03/2022,0.0,8.0
11/03/2022,0.0,8.0
12/03/2022,0.0,8.0
13/03/2022,0.0,8.0
14/03/2022,0.0,8.0
15/03/2022,0.0,8.0
16/03/2022,0.0,8.0
17/03/2022,0.0,8.0
18/03/2022,0.0,8.0
19/03/2022,0.0,8.0
20/03/2022,0.0,8.0
21/03/2022,0.0,8.0
22/03/2022,1.0,9.0
23/03/2022,1.0,10.0
24/03/2022,1.0,11.0
25/03/2022,2.0,13.0
26/03/2022,2.0,15.0
27/03/2022,2.0,17.0
28/03/2022,3.0,20.0
29/03/2022,3.0,23.0
30/03/2022,3.0,26.0
31/03/2022,3.0,29.0
01/04/2022,3.0,32.0
02/04/2022,2.0,34.0
03/04/2022,3.0,37.0
04/04/2022,5.0,42.0
05/04/2022,5.0,47.0
06/04/2022,6.0,53.0
07/04/2022,6.0,59.0
08/04/2022,6.0,65.0
09/04/2022,6.0,71.0
10/04/2022,7.0,78.0
11/04/2022,11.0,89.0
12/04/2022,12.0,101.0
13/04/2022,13.0,114.0
14/04/2022,12.0,126.0
15/04/2022,11.0,137.0
16/04/2022,11.0,148.0
17/04/2022,13.0,161.0
18/04/2022,24.0,185.0
19/04/2022,33.0,218.0
20/04/2022,34.0,252.0
21/04/2022,35.0,287.0
22/04/2022,35.0,322.0
23/04/2022,34.0,356.0
24/04/2022,43.0,399.0
25/04/2022,60.0,459.0
26/04/2022,60.0,519.0
27/04/2022,62.0,581.0
28/04/2022,63.0,644.0
29/04/2022,63.0,707.0
30/04/2022,60.0,767.0
01/05/2022,73.0,840.0
02/05/2022,117.0,957.0
03/05/2022,146.0,1103.0
04/05/2022,146.0,1249.0
05/05/2022,143.0,1392.0
06/05/2022,138.0,1530.0
07/05/2022,129.0,1659.0
08/05/2022,169.0,1828.0
09/05/2022,234.0,2062.0
10/05/2022,250.0,2312.0
11/05/2022,255.0,2567.0
12/05/2022,251.0,2818.0
13/05/2022,252.0,3070.0
14/05/2022,247.0,3317.0
15/05/2022,353.0,3670.0
16/05/2022,491.0,4161.0
17/05/2022,492.0,4653.0
18/05/2022,524.0,5177.0
19/05/2022,530.0,5707.0
20/05/2022,511.0,6218.0
21/05/2022,471.0,6689.0
22/05/2022,624.0,7313.0
