Date,Original,Alpha,Delta,Omicron
31/01/2021,0,0,0,0
01/02/2021,0,0,0,0
02/02/2021,0,0,0,0
03/02/2021,0,0,0,0
04/02/2021,0,0,0,0
05/02/2021,0,0,0,0
06/02/2021,0,0,0,0
07/02/2021,0,0,0,0
08/02/2021,0,0,0,0
09/02/2021,0,0,0,0
10/02/2021,0,0,0,0
11/02/2021,0,0,0,0
12/02/2021,0,0,0,0
13/02/2021,0,0,0,0
14/02/2021,0,0,0,0
15/02/2021,0,0,0,0
16/02/2021,0,0,0,0
17/02/2021,0,0,0,0
18/02/2021,0,0,0,0
19/02/2021,0,0,0,0
20/02/2021,0,0,0,0
21/02/2021,0,0,0,0
22/02/2021,0,0,0,0
23/02/2021,0,0,0,0
24/02/2021,0,0,0,0
25/02/2021,0,0,0,0
26/02/2021,0,0,0,0
27/02/2021,0,0,0,0
28/02/2021,0,0,0,0
01/03/2021,0,0,0,0
02/03/2021,0,0,0,0
03/03/2021,0,0,0,0
04/03/2021,0,0,0,0
05/03/2021,0,0,0,0
06/03/2021,0,0,0,0
07/03/2021,0,0,0,0
08/03/2021,0,0,0,0
09/03/2021,0,0,0,0
10/03/2021,0,0,0,0
11/03/2021,0,0,0,0
12/03/2021,0,0,0,0
13/03/2021,0,0,0,0
14/03/2021,0,0,0,0
15/03/2021,0,0,0,0
16/03/2021,0,0,0,0
17/03/2021,0,0,0,0
18/03/2021,0,0,0,0
19/03/2021,0,0,0,0
20/03/2021,0,0,0,0
21/03/2021,0,0,0,0
22/03/2021,1,0,0,0
23/03/2021,3,0,0,0
24/03/2021,6,0,0,0
25/03/2021,9,0,0,0
26/03/2021,12,0,0,0
27/03/2021,15,0,0,0
28/03/2021,20,0,0,0
29/03/2021,27,0,0,0
30/03/2021,37,0,0,0
31/03/2021,51,0,0,0
01/04/2021,67,0,0,0
02/04/2021,81,0,0,0
03/04/2021,96,0,0,0
04/04/2021,112,0,0,0
05/04/2021,137,0,0,0
06/04/2021,173,0,0,0
07/04/2021,216,0,0,0
08/04/2021,264,0,0,0
09/04/2021,316,0,0,0
10/04/2021,363,0,0,0
11/04/2021,415,0,0,0
12/04/2021,489,0,0,0
13/04/2021,562,0,0,0
14/04/2021,645,0,0,0
15/04/2021,733,0,0,0
16/04/2021,831,0,0,0
17/04/2021,908,0,0,0
18/04/2021,1044,0,0,0
19/04/2021,1198,0,0,0
20/04/2021,1360,0,0,0
21/04/2021,1556,0,0,0
22/04/2021,1746,0,0,0
23/04/2021,1920,0,0,0
24/04/2021,2064,0,0,0
25/04/2021,2290,0,0,0
26/04/2021,2601,0,0,0
27/04/2021,2882,0,0,0
28/04/2021,3256,0,0,0
29/04/2021,3621,0,0,0
30/04/2021,3942,0,0,0
01/05/2021,4218,0,0,0
02/05/2021,4540,0,0,0
03/05/2021,5027,0,0,0
04/05/2021,5671,0,0,0
05/05/2021,6368,0,0,0
06/05/2021,7035,0,0,0
07/05/2021,7636,0,0,0
08/05/2021,8138,0,0,0
09/05/2021,8950,0,0,0
10/05/2021,9970,0,0,0
11/05/2021,10847,0,0,0
12/05/2021,11779,0,0,0
13/05/2021,12697,0,0,0
14/05/2021,13556,0,0,0
15/05/2021,14323,0,0,0
16/05/2021,15303,0,0,0
17/05/2021,16810,0,0,0
18/05/2021,18309,0,0,0
19/05/2021,19879,0,0,0
20/05/2021,21319,0,0,0
21/05/2021,22713,0,0,0
22/05/2021,23951,0,0,0
23/05/2021,25478,0,0,0
24/05/2021,27708,0,0,0
25/05/2021,30018,0,0,0
26/05/2021,32689,0,0,0
27/05/2021,35319,0,0,0
28/05/2021,37867,0,0,0
29/05/2021,40044,0,0,0
30/05/2021,42381,0,0,0
31/05/2021,45254,0,0,0
01/06/2021,49378,0,0,0
02/06/2021,54015,0,0,0
03/06/2021,58771,0,0,0
04/06/2021,63334,0,0,0
05/06/2021,67064,0,0,0
06/06/2021,71547,0,0,0
07/06/2021,78016,0,0,0
08/06/2021,84364,0,0,0
09/06/2021,91021,0,0,0
10/06/2021,97516,0,0,0
11/06/2021,103841,0,0,0
12/06/2021,109135,0,0,0
13/06/2021,115095,0,0,0
14/06/2021,123874,0,0,0
15/06/2021,132865,0,0,0
16/06/2021,142122,0,0,0
17/06/2021,151497,0,0,0
18/06/2021,160140,0,0,0
19/06/2021,167167,0,0,0
20/06/2021,175264,0,0,0
21/06/2021,187809,0,0,0
22/06/2021,201208,0,0,0
23/06/2021,215839,0,0,0
24/06/2021,230751,0,0,0
25/06/2021,245490,0,0,0
26/06/2021,258835,0,0,0
27/06/2021,274089,0,0,0
28/06/2021,297372,0,0,0
29/06/2021,320402,0,0,0
30/06/2021,344121,0,0,0
01/07/2021,368169,0,0,0
02/07/2021,390261,0,0,0
03/07/2021,410720,0,0,0
04/07/2021,432330,0,0,0
05/07/2021,462259,0,0,0
06/07/2021,493576,0,0,0
07/07/2021,527516,0,0,0
08/07/2021,557124,0,0,0
09/07/2021,585864,0,0,0
10/07/2021,610991,0,0,0
11/07/2021,638096,0,0,0
12/07/2021,678099,0,0,0
13/07/2021,720834,0,0,0
14/07/2021,770550,0,0,0
15/07/2021,827427,0,0,0
16/07/2021,877930,0,0,0
17/07/2021,912764,0,0,0
18/07/2021,945502,0,0,0
19/07/2021,988330,0,0,0
20/07/2021,1023802,0,0,0
21/07/2021,1055046,0,0,0
22/07/2021,1082382,0,0,0
23/07/2021,1106585,0,0,0
24/07/2021,1126583,0,0,0
25/07/2021,1145954,0,0,0
26/07/2021,1172118,0,0,0
27/07/2021,1197767,0,0,0
28/07/2021,1224300,0,0,0
29/07/2021,1249284,0,0,0
30/07/2021,1271058,0,0,0
31/07/2021,1289223,0,0,0
01/08/2021,1307562,0,0,0
02/08/2021,1333641,0,0,0
03/08/2021,1360110,0,0,0
04/08/2021,1388284,0,0,0
05/08/2021,1415620,0,0,0
06/08/2021,1439718,0,0,0
07/08/2021,1459015,0,0,0
08/08/2021,1478415,0,0,0
09/08/2021,1505693,0,0,0
10/08/2021,1532366,0,0,0
11/08/2021,1560565,0,0,0
12/08/2021,1587414,0,0,0
13/08/2021,1611693,0,0,0
14/08/2021,1632463,0,0,0
15/08/2021,1653214,0,0,0
16/08/2021,1683272,0,0,0
17/08/2021,1713524,0,0,0
18/08/2021,1744068,0,0,0
19/08/2021,1772286,0,0,0
20/08/2021,1797061,0,0,0
21/08/2021,1818938,0,0,0
22/08/2021,1840608,0,0,0
23/08/2021,1869941,0,0,0
24/08/2021,1897213,0,0,0
25/08/2021,1924176,0,0,0
26/08/2021,1949760,0,0,0
27/08/2021,1973178,0,0,0
28/08/2021,1992621,0,0,0
29/08/2021,2011105,0,0,0
30/08/2021,2035168,0,0,0
31/08/2021,2067494,0,0,0
01/09/2021,2097880,0,0,0
02/09/2021,2127308,0,0,0
03/09/2021,2154883,0,0,0
04/09/2021,2177326,0,0,0
05/09/2021,2199789,0,0,0
06/09/2021,2231460,0,0,0
07/09/2021,2258122,0,0,0
08/09/2021,2282568,0,0,0
09/09/2021,2305813,0,0,0
10/09/2021,2325779,0,0,0
11/09/2021,2341857,0,0,0
12/09/2021,2358778,0,0,0
13/09/2021,2382587,0,0,0
14/09/2021,2403930,0,0,0
15/09/2021,2425002,0,0,0
16/09/2021,2445827,0,0,0
17/09/2021,2466805,0,0,0
18/09/2021,2486396,0,0,0
19/09/2021,2509568,0,0,0
20/09/2021,2539521,0,0,0
21/09/2021,2567945,0,0,0
22/09/2021,2594680,0,0,0
23/09/2021,2620939,0,0,0
24/09/2021,2644751,0,0,0
25/09/2021,2666335,0,0,0
26/09/2021,2691017,0,0,0
27/09/2021,2722839,0,0,0
28/09/2021,2750061,0,0,0
29/09/2021,2776379,0,0,0
30/09/2021,2800953,0,0,0
01/10/2021,2823050,0,0,0
02/10/2021,2843052,0,0,0
03/10/2021,2867842,0,0,0
04/10/2021,2901134,0,0,0
05/10/2021,2930554,0,0,0
06/10/2021,2960207,0,0,0
07/10/2021,2989485,0,0,0
08/10/2021,3016627,0,0,0
09/10/2021,3041323,0,0,0
10/10/2021,3069919,0,0,0
11/10/2021,3108947,0,0,0
12/10/2021,3145857,0,0,0
13/10/2021,3182363,0,0,0
14/10/2021,3217612,0,0,0
15/10/2021,3250400,0,0,0
16/10/2021,3278643,0,0,0
17/10/2021,3312019,0,0,0
18/10/2021,3355764,0,0,0
19/10/2021,3395310,0,0,0
20/10/2021,3434193,0,0,0
21/10/2021,3468245,0,0,0
22/10/2021,3498635,0,0,0
23/10/2021,3524776,0,0,0
24/10/2021,3551164,0,0,0
25/10/2021,3586062,1,0,0
26/10/2021,3616754,3,0,0
27/10/2021,3648404,6,0,0
28/10/2021,3678673,9,0,0
29/10/2021,3707900,13,0,0
30/10/2021,3732083,17,0,0
31/10/2021,3757284,22,0,0
01/11/2021,3789271,27,0,0
02/11/2021,3815769,31,0,0
03/11/2021,3840532,34,0,0
04/11/2021,3863500,36,0,0
05/11/2021,3883890,38,0,0
06/11/2021,3902681,39,0,0
07/11/2021,3923770,40,0,0
08/11/2021,3953587,42,0,0
09/11/2021,3982073,44,0,0
10/11/2021,4011015,47,0,0
11/11/2021,4038445,51,0,0
12/11/2021,4063837,55,0,0
13/11/2021,4085911,59,0,0
14/11/2021,4109673,64,0,0
15/11/2021,4143679,83,0,0
16/11/2021,4174520,110,0,0
17/11/2021,4204941,146,0,0
18/11/2021,4234343,190,0,0
19/11/2021,4260550,238,0,0
20/11/2021,4284063,289,0,0
21/11/2021,4308981,351,0,0
22/11/2021,4342395,509,0,0
23/11/2021,4374157,730,0,0
24/11/2021,4404836,1014,0,0
25/11/2021,4433219,1342,0,0
26/11/2021,4458778,1698,0,0
27/11/2021,4480235,2048,0,0
28/11/2021,4505588,2522,0,0
29/11/2021,4540769,4005,0,0
30/11/2021,4574993,6284,1,0
01/12/2021,4608234,9346,2,0
02/12/2021,4637855,12863,4,0
03/12/2021,4664245,16731,6,0
04/12/2021,4686196,20588,8,0
05/12/2021,4708683,25226,10,0
06/12/2021,4739030,35271,13,0
07/12/2021,4765280,47816,15,0
08/12/2021,4790151,64069,17,0
09/12/2021,4812044,83050,18,0
10/12/2021,4830051,103438,19,0
11/12/2021,4844799,125126,19,0
12/12/2021,4858854,152071,19,0
13/12/2021,4880088,199191,21,0
14/12/2021,4902937,258198,26,0
15/12/2021,4925490,326489,35,0
16/12/2021,4944317,394029,46,0
17/12/2021,4959193,458149,59,0
18/12/2021,4970994,520468,73,0
19/12/2021,4980720,585170,89,0
20/12/2021,4993824,684127,132,0
21/12/2021,5006656,795476,200,0
22/12/2021,5018615,916575,295,0
23/12/2021,5028774,1039101,411,0
24/12/2021,5036028,1146281,529,0
25/12/2021,5038979,1201949,599,0
26/12/2021,5042620,1295580,730,0
27/12/2021,5047890,1443370,1042,0
28/12/2021,5053167,1606022,1500,0
29/12/2021,5059439,1820401,2255,0
30/12/2021,5064271,2005598,3037,0
31/12/2021,5067652,2152962,3762,0
01/01/2022,5069555,2248960,4300,0
02/01/2022,5071968,2393232,5208,0
03/01/2022,5074878,2581263,6644,0
04/01/2022,5078124,2809477,8694,0
05/01/2022,5080442,2988129,10539,0
06/01/2022,5082162,3134779,12251,0
07/01/2022,5083234,3237022,13582,0
08/01/2022,5083964,3316088,14717,0
09/01/2022,5084611,3396985,15987,0
10/01/2022,5085429,3509972,18061,0
11/01/2022,5086065,3607970,20122,0
12/01/2022,5086565,3695168,22190,0
13/01/2022,5086970,3776541,24339,0
14/01/2022,5087276,3849129,26452,0
15/01/2022,5087501,3914491,28531,0
16/01/2022,5087722,3996839,31375,0
17/01/2022,5087993,4106732,35772,0
18/01/2022,5088214,4205050,40250,0
19/01/2022,5088401,4297317,44968,0
20/01/2022,5088549,4379328,49625,0
21/01/2022,5088666,4453478,54259,0
22/01/2022,5088755,4519279,58750,0
23/01/2022,5088847,4601518,64842,0
24/01/2022,5088952,4701825,73501,0
25/01/2022,5089037,4789830,82201,0
26/01/2022,5089111,4873480,91544,1
27/01/2022,5089169,4946848,100702,2
28/01/2022,5089214,5009677,109389,3
29/01/2022,5089248,5064253,117687,4
30/01/2022,5089282,5128282,128326,5
31/01/2022,5089321,5202766,142021,6
01/02/2022,5089355,5267778,155162,7
02/02/2022,5089386,5328164,168505,8
03/02/2022,5089412,5379653,180883,8
04/02/2022,5089433,5421198,191704,8
05/02/2022,5089449,5454867,201171,8
06/02/2022,5089467,5493270,212792,8
07/02/2022,5089489,5539819,228751,8
08/02/2022,5089508,5579711,244135,8
09/02/2022,5089525,5615240,259459,8
10/02/2022,5089539,5643084,272826,8
11/02/2022,5089550,5665826,284932,8
12/02/2022,5089559,5684059,295659,8
13/02/2022,5089569,5703598,308334,8
14/02/2022,5089582,5728249,325987,8
15/02/2022,5089594,5750610,343637,8
16/02/2022,5089606,5771633,361907,8
17/02/2022,5089616,5789027,378541,8
18/02/2022,5089623,5801128,391272,8
19/02/2022,5089631,5813332,405401,8
20/02/2022,5089639,5825759,421244,8
21/02/2022,5089647,5839414,440492,8
22/02/2022,5089653,5850298,457485,8
23/02/2022,5089658,5859776,473913,8
24/02/2022,5089661,5867214,488270,8
25/02/2022,5089663,5873381,501575,8
26/02/2022,5089664,5878508,513998,8
27/02/2022,5089665,5884420,530181,8
28/02/2022,5089667,5892427,553923,8
01/03/2022,5089669,5899942,578144,8
02/03/2022,5089672,5907299,604016,8
03/03/2022,5089676,5913768,628948,8
04/03/2022,5089681,5919576,653612,8
05/03/2022,5089686,5924548,677024,8
06/03/2022,5089693,5930260,707066,8
07/03/2022,5089703,5937875,750227,8
08/03/2022,5089712,5945179,795031,8
09/03/2022,5089721,5952377,843043,8
10/03/2022,5089729,5958891,890552,8
11/03/2022,5089736,5964653,936802,8
12/03/2022,5089742,5969590,980759,8
13/03/2022,5089749,5975053,1035227,8
14/03/2022,5089758,5981819,1107555,8
15/03/2022,5089767,5987706,1175321,8
16/03/2022,5089776,5993171,1243403,8
17/03/2022,5089784,5997794,1306075,8
18/03/2022,5089791,6001676,1363745,8
19/03/2022,5089797,6004830,1415484,8
20/03/2022,5089805,6008278,1478547,8
21/03/2022,5089814,6012705,1563516,8
22/03/2022,5089821,6016544,1641023,9
23/03/2022,5089826,6020005,1714672,10
24/03/2022,5089829,6022907,1779956,11
