Date,original,alpha,delta,omicron,pororig,poralp,pordlt,poromi
10/04/2021,47,0,0,0,0.023311,0,0,0
11/04/2021,52,0,0,0,0.025852,0,0,0
12/04/2021,74,0,0,0,0.030673714,0,0,0
13/04/2021,73,0,0,0,0.035495429,0,0,0
14/04/2021,83,0,0,0,0.040317143,0,0,0
15/04/2021,88,0,0,0,0.045138857,0,0,0
16/04/2021,98,0,0,0,0.049960571,0,0,0
17/04/2021,77,0,0,0,0.054782286,0,0,0
18/04/2021,136,0,0,0,0.059604,0,0,0
19/04/2021,154,0,0,0,0.068087714,0,0,0
20/04/2021,162,0,0,0,0.076571429,0,0,0
21/04/2021,196,0,0,0,0.085055143,0,0,0
22/04/2021,190,0,0,0,0.093538857,0,0,0
23/04/2021,174,0,0,0,0.102022571,0,0,0
24/04/2021,144,0,0,0,0.110506286,0,0,0
25/04/2021,226,0,0,0,0.11899,0,0,0
26/04/2021,311,0,0,0,0.137212571,0,0,0
27/04/2021,281,0,0,0,0.155435143,0,0,0
28/04/2021,374,0,0,0,0.173657714,0,0,0
29/04/2021,365,0,0,0,0.191880286,0,0,0
30/04/2021,321,0,0,0,0.210102857,0,0,0
01/05/2021,276,0,0,0,0.228325429,0,0,0
02/05/2021,322,0,0,0,0.246548,0,0,0
03/05/2021,487,0,0,0,0.269790714,0,0,0
04/05/2021,644,0,0,0,0.293033429,0,0,0
05/05/2021,697,0,0,0,0.316276143,0,0,0
06/05/2021,667,0,0,0,0.339518857,0,0,0
07/05/2021,601,0,0,0,0.362761571,0,0,0
08/05/2021,502,0,0,0,0.386004286,0,0,0
09/05/2021,812,0,0,0,0.409247,0,0,0
10/05/2021,1020,0,0,0,0.439084714,0,0,0
11/05/2021,877,0,0,0,0.468922429,0,0,0
12/05/2021,932,0,0,0,0.498760143,0,0,0
13/05/2021,918,0,0,0,0.528597857,0,0,0
14/05/2021,859,0,0,0,0.558435571,0,0,0
15/05/2021,767,0,0,0,0.588273286,0,0,0
16/05/2021,980,0,0,0,0.618111,0,0,0
17/05/2021,1507,0,0,0,0.643571571,0,0,0
18/05/2021,1499,0,0,0,0.669032143,0,0,0
19/05/2021,1570,0,0,0,0.694492714,0,0,0
20/05/2021,1440,0,0,0,0.719953286,0,0,0
21/05/2021,1394,0,0,0,0.745413857,0,0,0
22/05/2021,1238,0,0,0,0.770874429,0,0,0
23/05/2021,1527,0,0,0,0.796335,0,0,0
24/05/2021,2230,0,0,0,0.811073286,0,0,0
25/05/2021,2310,0,0,0,0.825811571,0,0,0
26/05/2021,2671,0,0,0,0.840549857,0,0,0
27/05/2021,2630,0,0,0,0.855288143,0,0,0
28/05/2021,2548,0,0,0,0.870026429,0,0,0
29/05/2021,2177,0,0,0,0.884764714,0,0,0
30/05/2021,2337,0,0,0,0.899503,0,0,0
31/05/2021,2873,0,0,0,0.906426571,0,0,0
01/06/2021,4124,0,0,0,0.913350143,0,0,0
02/06/2021,4637,0,0,0,0.920273714,0,0,0
03/06/2021,4756,0,0,0,0.927197286,0,0,0
04/06/2021,4563,0,0,0,0.934120857,0,0,0
05/06/2021,3730,0,0,0,0.941044429,0,0,0
06/06/2021,4483,0,0,0,0.947968,0,0,0
07/06/2021,6469,0,0,0,0.952702143,0,0,0
08/06/2021,6348,0,0,0,0.957436286,0,0,0
09/06/2021,6657,0,0,0,0.962170429,0,0,0
10/06/2021,6495,0,0,0,0.966904571,0,0,0
11/06/2021,6325,0,0,0,0.971638714,0,0,0
12/06/2021,5294,0,0,0,0.976372857,0,0,0
13/06/2021,5960,0,0,0,0.981107,0,0,0
14/06/2021,8779,0,0,0,0.981934571,0,0,0
15/06/2021,8991,0,0,0,0.982762143,0,0,0
16/06/2021,9257,0,0,0,0.983589714,0,0,0
17/06/2021,9375,0,0,0,0.984417286,0,0,0
18/06/2021,8643,0,0,0,0.985244857,0,0,0
19/06/2021,7027,0,0,0,0.986072429,0,0,0
20/06/2021,8097,0,0,0,0.9869,0,0,0
21/06/2021,12545,0,0,0,0.987350857,0,0,0
22/06/2021,13399,0,0,0,0.987801714,0,0,0
23/06/2021,14631,0,0,0,0.988252571,0,0,0
24/06/2021,14912,0,0,0,0.988703429,0,0,0
25/06/2021,14739,0,0,0,0.989154286,0,0,0
26/06/2021,13345,0,0,0,0.989605143,0,0,0
27/06/2021,15254,0,0,0,0.990056,0,0,0
28/06/2021,23283,0,0,0,0.990288571,0,0,0
29/06/2021,23030,0,0,0,0.990521143,0,0,0
30/06/2021,23719,0,0,0,0.990753714,0,0,0
01/07/2021,24048,0,0,0,0.990986286,0,0,0
02/07/2021,22092,0,0,0,0.991218857,0,0,0
03/07/2021,20459,0,0,0,0.991451429,0,0,0
04/07/2021,21610,0,0,0,0.991684,0,0,0
05/07/2021,29929,0,0,0,0.991247429,0,0,0
06/07/2021,31317,0,0,0,0.990810857,0,0,0
07/07/2021,33940,0,0,0,0.990374286,0,0,0
08/07/2021,29608,0,0,0,0.989937714,0,0,0
09/07/2021,28740,0,0,0,0.989501143,0,0,0
10/07/2021,25127,0,0,0,0.989064571,0,0,0
11/07/2021,27105,0,0,0,0.988628,0,0,0
12/07/2021,40003,0,0,0,0.988425,0,0,0
13/07/2021,42735,0,0,0,0.988222,0,0,0
14/07/2021,49716,0,0,0,0.988019,0,0,0
15/07/2021,56877,0,0,0,0.987816,0,0,0
16/07/2021,50503,0,0,0,0.987613,0,0,0
17/07/2021,34834,0,0,0,0.98741,0,0,0
18/07/2021,32738,0,0,0,0.987207,0,0,0
19/07/2021,42828,0,0,0,0.987061143,0,0,0
20/07/2021,35472,0,0,0,0.986915286,0,0,0
21/07/2021,31244,0,0,0,0.986769429,0,0,0
22/07/2021,27336,0,0,0,0.986623571,0,0,0
23/07/2021,24203,0,0,0,0.986477714,0,0,0
24/07/2021,19998,0,0,0,0.986331857,0,0,0
25/07/2021,19371,0,0,0,0.986186,0,0,0
26/07/2021,26164,0,0,0,0.985941429,0,0,0
27/07/2021,25649,0,0,0,0.985696857,0,0,0
28/07/2021,26533,0,0,0,0.985452286,0,0,0
29/07/2021,24984,0,0,0,0.985207714,0,0,0
30/07/2021,21774,0,0,0,0.984963143,0,0,0
31/07/2021,18165,0,0,0,0.984718571,0,0,0
01/08/2021,18339,0,0,0,0.984474,0,0,0
02/08/2021,26079,0,0,0,0.981330857,0,0,0
03/08/2021,26469,0,0,0,0.978187714,0,0,0
04/08/2021,28174,0,0,0,0.975044571,0,0,0
05/08/2021,27336,0,0,0,0.971901429,0,0,0
06/08/2021,24098,0,0,0,0.968758286,0,0,0
07/08/2021,19297,0,0,0,0.965615143,0,0,0
08/08/2021,19400,0,0,0,0.962472,0,0,0
09/08/2021,27278,0,0,0,0.964304143,0,0,0
10/08/2021,26673,0,0,0,0.966136286,0,0,0
11/08/2021,28199,0,0,0,0.967968429,0,0,0
12/08/2021,26849,0,0,0,0.969800571,0,0,0
13/08/2021,24279,0,0,0,0.971632714,0,0,0
14/08/2021,20770,0,0,0,0.973464857,0,0,0
15/08/2021,20751,0,0,0,0.975297,0,0,0
16/08/2021,30058,0,0,0,0.974191571,0,0,0
17/08/2021,30252,0,0,0,0.973086143,0,0,0
18/08/2021,30544,0,0,0,0.971980714,0,0,0
19/08/2021,28218,0,0,0,0.970875286,0,0,0
20/08/2021,24775,0,0,0,0.969769857,0,0,0
21/08/2021,21877,0,0,0,0.968664429,0,0,0
22/08/2021,21670,0,0,0,0.967559,0,0,0
23/08/2021,29333,0,0,0,0.967231143,0,0,0
24/08/2021,27272,0,0,0,0.966903286,0,0,0
25/08/2021,26963,0,0,0,0.966575429,0,0,0
26/08/2021,25584,0,0,0,0.966247571,0,0,0
27/08/2021,23418,0,0,0,0.965919714,0,0,0
28/08/2021,19443,0,0,0,0.965591857,0,0,0
29/08/2021,18484,0,0,0,0.965264,0,0,0
30/08/2021,24063,0,0,0,0.964200286,0,0,0
31/08/2021,32326,0,0,0,0.963136571,0,0,0
01/09/2021,30386,0,0,0,0.962072857,0,0,0
02/09/2021,29428,0,0,0,0.961009143,0,0,0
03/09/2021,27575,0,0,0,0.959945429,0,0,0
04/09/2021,22443,0,0,0,0.958881714,0,0,0
05/09/2021,22463,0,0,0,0.957818,0,0,0
06/09/2021,31671,0,0,0,0.956235714,0,0,0
07/09/2021,26662,0,0,0,0.954653429,0,0,0
08/09/2021,24446,0,0,0,0.953071143,0,0,0
09/09/2021,23245,0,0,0,0.951488857,0,0,0
10/09/2021,19966,0,0,0,0.949906571,0,0,0
11/09/2021,16078,0,0,0,0.948324286,0,0,0
12/09/2021,16921,0,0,0,0.946742,0,0,0
13/09/2021,23809,0,0,0,0.945032,0,0,0
14/09/2021,21343,0,0,0,0.943322,0,0,0
15/09/2021,21072,0,0,0,0.941612,0,0,0
16/09/2021,20825,0,0,0,0.939902,0,0,0
17/09/2021,20978,0,0,0,0.938192,0,0,0
18/09/2021,19591,0,0,0,0.936482,0,0,0
19/09/2021,23172,0,0,0,0.934772,0,0,0
20/09/2021,29953,0,0,0,0.932824,0,0,0
21/09/2021,28424,0,0,0,0.930876,0,0,0
22/09/2021,26735,0,0,0,0.928928,0,0,0
23/09/2021,26259,0,0,0,0.92698,0,0,0
24/09/2021,23812,0,0,0,0.925032,0,0,0
25/09/2021,21584,0,0,0,0.923084,0,0,0
26/09/2021,24682,0,0,0,0.921136,0,0,0
27/09/2021,31822,0,0,0,0.920070429,0,0,0
28/09/2021,27222,0,0,0,0.919004857,0,0,0
29/09/2021,26318,0,0,0,0.917939286,0,0,0
30/09/2021,24574,0,0,0,0.916873714,0,0,0
01/10/2021,22097,0,0,0,0.915808143,0,0,0
02/10/2021,20002,0,0,0,0.914742571,0,0,0
03/10/2021,24790,0,0,0,0.913677,0,0,0
04/10/2021,33292,0,0,0,0.912882286,0,0,0
05/10/2021,29420,0,0,0,0.912087571,0,0,0
06/10/2021,29653,0,0,0,0.911292857,0,0,0
07/10/2021,29278,0,0,0,0.910498143,0,0,0
08/10/2021,27142,0,0,0,0.909703429,0,0,0
09/10/2021,24696,0,0,0,0.908908714,0,0,0
10/10/2021,28596,0,0,0,0.908114,0,0,0
11/10/2021,39028,0,0,0,0.905543143,0,0,0
12/10/2021,36910,0,0,0,0.902972286,0,0,0
13/10/2021,36506,0,0,0,0.900401429,0,0,0
14/10/2021,35249,0,0,0,0.897830571,0,0,0
15/10/2021,32788,0,0,0,0.895259714,0,0,0
16/10/2021,28243,0,0,0,0.892688857,0,0,0
17/10/2021,33376,0,0,0,0.890118,0,0,0
18/10/2021,43745,0,0,0,0.888250714,0,0,0
19/10/2021,39546,0,0,0,0.886383429,0,0,0
20/10/2021,38883,0,0,0,0.884516143,0,0,0
21/10/2021,34052,0,0,0,0.882648857,0,0,0
22/10/2021,30390,0,0,0,0.880781571,0,0,0
23/10/2021,26141,0,0,0,0.878914286,0,0,0
24/10/2021,26388,0,0,0,0.877047,0,0,0
25/10/2021,34898,1,0,0,0.873588286,2.31E-05,0,0
26/10/2021,30692,2,0,0,0.870129571,4.63E-05,0,0
27/10/2021,31650,3,0,0,0.866670857,6.94E-05,0,0
28/10/2021,30269,3,0,0,0.863212143,9.26E-05,0,0
29/10/2021,29227,4,0,0,0.859753429,0.000115714,0,0
30/10/2021,24183,4,0,0,0.856294714,0.000138857,0,0
31/10/2021,25201,5,0,0,0.852836,0.000162,0,0
01/11/2021,31987,5,0,0,0.849396429,0.000142171,0,0
02/11/2021,26498,4,0,0,0.845956857,0.000122343,0,0
03/11/2021,24763,3,0,0,0.842517286,0.000102514,0,0
04/11/2021,22968,2,0,0,0.839077714,8.27E-05,0,0
05/11/2021,20390,2,0,0,0.835638143,6.29E-05,0,0
06/11/2021,18791,1,0,0,0.832198571,4.30E-05,0,0
07/11/2021,21089,1,0,0,0.828759,2.32E-05,0,0
08/11/2021,29817,2,0,0,0.825119429,4.59E-05,0,0
09/11/2021,28486,2,0,0,0.821479857,6.86E-05,0,0
10/11/2021,28942,3,0,0,0.817840286,9.13E-05,0,0
11/11/2021,27430,4,0,0,0.814200714,0.000113943,0,0
12/11/2021,25392,4,0,0,0.810561143,0.000136629,0,0
13/11/2021,22074,4,0,0,0.806921571,0.000159314,0,0
14/11/2021,23762,5,0,0,0.803282,0.000182,0,0
15/11/2021,34006,19,0,0,0.800623143,0.000435571,0,0
16/11/2021,30841,27,0,0,0.797964286,0.000689143,0,0
17/11/2021,30421,36,0,0,0.795305429,0.000942714,0,0
18/11/2021,29402,44,0,0,0.792646571,0.001196286,0,0
19/11/2021,26207,48,0,0,0.789987714,0.001449857,0,0
20/11/2021,23513,51,0,0,0.787328857,0.001703429,0,0
21/11/2021,24918,62,0,0,0.78467,0.001957,0,0
22/11/2021,33414,158,0,0,0.779589429,0.003678571,0,0
23/11/2021,31762,221,0,0,0.774508857,0.005400143,0,0
24/11/2021,30679,284,0,0,0.769428286,0.007121714,0,0
25/11/2021,28383,328,0,0,0.764347714,0.008843286,0,0
26/11/2021,25559,356,0,0,0.759267143,0.010564857,0,0
27/11/2021,21457,350,0,0,0.754186571,0.012286429,0,0
28/11/2021,25353,474,0,0,0.749106,0.014008,0,0
29/11/2021,35181,1483,0,0,0.733863571,0.030934429,9.99E-06,0
30/11/2021,34224,2279,1,0,0.718621143,0.047860857,2.00E-05,0
01/12/2021,33241,3062,1,0,0.703378714,0.064787286,3.00E-05,0
02/12/2021,29621,3517,2,0,0.688136286,0.081713714,3.99E-05,0
03/12/2021,26390,3868,2,0,0.672893857,0.098640143,4.99E-05,0
04/12/2021,21951,3857,2,0,0.657651429,0.115566571,5.99E-05,0
05/12/2021,22487,4638,2,0,0.642409,0.132493,6.99E-05,0
06/12/2021,30347,10045,3,0,0.593947857,0.196596714,5.99E-05,0
07/12/2021,26250,12545,2,0,0.545486714,0.260700429,4.99E-05,0
08/12/2021,24871,16253,2,0,0.497025571,0.324804143,3.99E-05,0
09/12/2021,21893,18981,1,0,0.448564429,0.388907857,3.00E-05,0
10/12/2021,18007,20388,1,0,0.400103286,0.453011571,2.00E-05,0
11/12/2021,14748,21688,0,0,0.351642143,0.517115286,9.99E-06,0
12/12/2021,14055,26945,0,0,0.303181,0.581219,0,0
13/12/2021,21234,47120,2,0,0.277570429,0.615944714,2.97E-05,0
14/12/2021,22849,59007,5,0,0.251959857,0.650670429,5.94E-05,0
15/12/2021,22553,68291,9,0,0.226349286,0.685396143,8.91E-05,0
16/12/2021,18827,67540,11,0,0.200738714,0.720121857,0.000118857,0
17/12/2021,14876,64120,13,0,0.175128143,0.754847571,0.000148571,0
18/12/2021,11801,62319,14,0,0.149517571,0.789573286,0.000178286,0
19/12/2021,9726,64702,16,0,0.123907,0.824299,0.000208,0
20/12/2021,13104,98957,43,0,0.111465714,0.841780857,0.000366857,0
21/12/2021,12832,111349,68,0,0.099024429,0.859262714,0.000525714,0
22/12/2021,11959,121099,95,0,0.086583143,0.876744571,0.000684571,0
23/12/2021,10159,122526,116,0,0.074141857,0.894226429,0.000843429,0
24/12/2021,7254,107180,118,0,0.061700571,0.911708286,0.001002286,0
25/12/2021,2951,55668,70,0,0.049259286,0.929190143,0.001161143,0
26/12/2021,3641,93631,131,0,0.036818,0.946672,0.00132,0
27/12/2021,5270,147790,312,0,0.033877857,0.950117286,0.002003857,0
28/12/2021,5277,162652,458,0,0.030937714,0.953562571,0.002687714,0
29/12/2021,6272,214379,755,0,0.027997571,0.957007857,0.003371571,0
30/12/2021,4832,185197,782,0,0.025057429,0.960453143,0.004055429,0
31/12/2021,3381,147364,725,0,0.022117286,0.963898429,0.004739286,0
01/01/2022,1903,95998,538,0,0.019177143,0.967343714,0.005423143,0
02/01/2022,2413,144272,908,0,0.016237,0.970789,0.006107,0
03/01/2022,2910,188031,1436,0,0.015029429,0.971241857,0.007418571,0
04/01/2022,3246,228214,2050,0,0.013821857,0.971694714,0.008730143,0
05/01/2022,2318,178652,1845,0,0.012614286,0.972147571,0.010041714,0
06/01/2022,1720,146650,1712,0,0.011406714,0.972600429,0.011353286,0
07/01/2022,1072,102243,1331,0,0.010199143,0.973053286,0.012664857,0
08/01/2022,730,79066,1135,0,0.008991571,0.973506143,0.013976429,0
09/01/2022,647,80897,1270,0,0.007784,0.973959,0.015288,0
10/01/2022,818,112987,2074,0,0.007040571,0.972295429,0.017851286,0
11/01/2022,636,97998,2061,0,0.006297143,0.970631857,0.020414571,0
12/01/2022,500,87198,2068,0,0.005553714,0.968968286,0.022977857,0
13/01/2022,405,81373,2149,0,0.004810286,0.967304714,0.025541143,0
14/01/2022,306,72588,2113,0,0.004066857,0.965641143,0.028104429,0
15/01/2022,225,65362,2079,0,0.003323429,0.963977571,0.030667714,0
16/01/2022,221,82348,2844,0,0.00258,0.962314,0.033231,0
17/01/2022,271,109893,4397,0,0.002360571,0.957560714,0.038314571,0
18/01/2022,221,98318,4478,0,0.002141143,0.952807429,0.043398143,0
19/01/2022,187,92267,4718,0,0.001921714,0.948054143,0.048481714,0
20/01/2022,148,82011,4657,0,0.001702286,0.943300857,0.053565286,0
21/01/2022,117,74150,4634,0,0.001482857,0.938547571,0.058648857,0
22/01/2022,89,65801,4491,0,0.001263429,0.933794286,0.063732429,0
23/01/2022,92,82239,6092,0,0.001044,0.929041,0.068816,0
24/01/2022,105,100307,8659,0,0.000959429,0.918552429,0.079294286,2.16E-06
25/01/2022,85,88005,8700,0,0.000874857,0.908063857,0.089772571,4.31E-06
26/01/2022,74,83650,9343,1,0.000790286,0.897575286,0.100250857,6.47E-06
27/01/2022,58,73368,9158,1,0.000705714,0.887086714,0.110729143,8.63E-06
28/01/2022,45,62829,8687,1,0.000621143,0.876598143,0.121207429,1.08E-05
29/01/2022,34,54576,8298,1,0.000536571,0.866109571,0.131685714,1.29E-05
30/01/2022,34,64029,10639,1,0.000452,0.855621,0.142164,1.51E-05
31/01/2022,39,74484,13695,1,0.000440143,0.842822714,0.154969143,1.29E-05
01/02/2022,34,65012,13141,1,0.000428286,0.830024429,0.167774286,1.08E-05
02/02/2022,31,60386,13343,1,0.000416429,0.817226143,0.180579429,8.63E-06
03/02/2022,26,51489,12378,0,0.000404571,0.804427857,0.193384571,6.47E-06
04/02/2022,21,41545,10821,0,0.000392714,0.791629571,0.206189714,4.31E-06
05/02/2022,16,33669,9467,0,0.000380857,0.778831286,0.218994857,2.16E-06
06/02/2022,18,38403,11621,0,0.000369,0.766033,0.2318,0
07/02/2022,22,46549,15959,0,0.000358714,0.742996714,0.254729143,0
08/02/2022,19,39892,15384,0,0.000348429,0.719960429,0.277658286,0
09/02/2022,17,35529,15324,0,0.000338143,0.696924143,0.300587429,0
10/02/2022,14,27844,13367,0,0.000327857,0.673887857,0.323516571,0
11/02/2022,11,22742,12106,0,0.000317571,0.650851571,0.346445714,0
12/02/2022,9,18233,10727,0,0.000307286,0.627815286,0.369374857,0
13/02/2022,10,19539,12675,0,0.000297,0.604779,0.392304,0
14/02/2022,13,24651,17653,0,0.000296714,0.580948,0.416022714,0
15/02/2022,12,22361,17650,0,0.000296429,0.557117,0.439741429,0
16/02/2022,12,21023,18270,0,0.000296143,0.533286,0.463460143,0
17/02/2022,10,17394,16634,0,0.000295857,0.509455,0.487178857,0
18/02/2022,7,12101,12731,0,0.000295571,0.485624,0.510897571,0
19/02/2022,8,12204,14129,0,0.000295286,0.461793,0.534616286,0
20/02/2022,8,12427,15843,0,0.000295,0.437962,0.558335,0
21/02/2022,8,13655,19248,0,0.000256229,0.413500429,0.582870429,0
22/02/2022,6,10884,16993,0,0.000217457,0.389038857,0.607405857,0
23/02/2022,5,9478,16428,0,0.000178686,0.364577286,0.631941286,0
24/02/2022,3,7438,14357,0,0.000139914,0.340115714,0.656476714,0
25/02/2022,2,6167,13305,0,0.000101143,0.315654143,0.681012143,0
26/02/2022,1,5127,12423,0,6.24E-05,0.291192571,0.705547571,0
27/02/2022,1,5912,16183,0,2.36E-05,0.266731,0.730083,0
28/02/2022,2,8007,23742,0,4.85E-05,0.251349857,0.745294,0
01/03/2022,2,7515,24221,0,7.34E-05,0.235968714,0.760505,0
02/03/2022,3,7357,25872,0,9.83E-05,0.220587571,0.775716,0
03/03/2022,4,6469,24932,0,0.000123257,0.205206429,0.790927,0
04/03/2022,5,5808,24664,0,0.000148171,0.189825286,0.806138,0
05/03/2022,5,4972,23412,0,0.000173086,0.174444143,0.821349,0
06/03/2022,7,5712,30042,0,0.000198,0.159063,0.83656,0
07/03/2022,10,7615,43161,0,0.000186286,0.149287714,0.846150286,0
08/03/2022,9,7304,44804,0,0.000174571,0.139512429,0.855740571,0
09/03/2022,9,7198,48012,0,0.000162857,0.129737143,0.865330857,0
10/03/2022,8,6514,47509,0,0.000151143,0.119961857,0.874921143,0
11/03/2022,7,5762,46250,0,0.000139429,0.110186571,0.884511429,0
12/03/2022,6,4937,43957,0,0.000127714,0.100411286,0.894101714,0
13/03/2022,7,5463,54468,0,0.000116,0.090636,0.903692,0
14/03/2022,9,6766,72328,0,0.000115714,0.085048714,0.909222714,0
15/03/2022,9,5887,67766,0,0.000115429,0.079461429,0.914753429,0
16/03/2022,9,5465,68082,0,0.000115143,0.073874143,0.920284143,0
17/03/2022,8,4623,62672,0,0.000114857,0.068286857,0.925814857,0
18/03/2022,7,3882,57670,0,0.000114571,0.062699571,0.931345571,0
19/03/2022,6,3154,51739,0,0.000114286,0.057112286,0.936876286,0
20/03/2022,8,3448,63063,0,0.000114,0.051525,0.942407,0
21/03/2022,9,4427,84969,0,9.77E-05,0.049216143,0.944660857,5.27E-06
22/03/2022,7,3839,77507,1,8.14E-05,0.046907286,0.946914714,1.05E-05
23/03/2022,5,3461,73649,1,6.51E-05,0.044598429,0.949168571,1.58E-05
24/03/2022,3,2902,65284,1,4.89E-05,0.042289571,0.951422429,2.11E-05
25/03/2022,2,2410,57482,2,3.26E-05,0.039980714,0.953676286,2.64E-05
26/03/2022,1,1951,49500,2,1.63E-05,0.037671857,0.955930143,3.16E-05
27/03/2022,0,2051,55566,2,0,0.035363,0.958184,3.69E-05
28/03/2022,0,2664,75765,3,0,0.033744143,0.959594429,4.22E-05
29/03/2022,0,2167,64827,3,0,0.032125286,0.961004857,4.75E-05
30/03/2022,0,1915,60418,3,0,0.030506429,0.962415286,5.28E-05
31/03/2022,0,1326,44226,3,0,0.028887571,0.963825714,5.80E-05
01/04/2022,0,1101,38966,3,0,0.027268714,0.965236143,6.33E-05
02/04/2022,0,811,30564,2,0,0.025649857,0.966646571,6.86E-05
03/04/2022,0,856,34482,3,0,0.024031,0.968057,7.39E-05
04/04/2022,0,1028,43789,5,0,0.022755143,0.969276143,0.000104629
05/04/2022,0,867,39180,5,0,0.021479286,0.970495286,0.000135357
06/04/2022,0,745,35830,6,0,0.020203429,0.971714429,0.000166086
07/04/2022,0,601,30868,6,0,0.018927571,0.972933571,0.000196814
08/04/2022,0,483,26673,6,0,0.017651714,0.974152714,0.000227543
09/04/2022,0,377,22441,6,0,0.016375857,0.975371857,0.000258271
10/04/2022,0,387,25026,7,0,0.0151,0.976591,0.000289
11/04/2022,0,434,29882,11,0,0.014186571,0.976921429,0.000359286
12/04/2022,0,363,26746,12,0,0.013273143,0.977251857,0.000429571
13/04/2022,0,315,24922,13,0,0.012359714,0.977582286,0.000499857
14/04/2022,0,245,20961,12,0,0.011446286,0.977912714,0.000570143
15/04/2022,0,182,16923,11,0,0.010532857,0.978243143,0.000640429
16/04/2022,0,155,15740,11,0,0.009619429,0.978573571,0.000710714
17/04/2022,0,142,15918,13,0,0.008706,0.978904,0.000781
18/04/2022,0,176,20072,24,0,0.008568571,0.977861429,0.00119
19/04/2022,0,174,20102,33,0,0.008431143,0.976818857,0.001599
20/04/2022,0,141,16541,34,0,0.008293714,0.975776286,0.002008
21/04/2022,0,118,14142,35,0,0.008156286,0.974733714,0.002417
22/04/2022,0,100,12187,35,0,0.008018857,0.973691143,0.002826
23/04/2022,0,83,10280,34,0,0.007881429,0.972648571,0.003235
24/04/2022,0,92,11535,43,0,0.007744,0.971606,0.003644
25/04/2022,0,97,13020,60,3.31E-05,0.007268143,0.970983286,0.004484
26/04/2022,1,77,10957,60,6.63E-05,0.006792286,0.970360571,0.005324
27/04/2022,1,64,9802,62,9.94E-05,0.006316429,0.969737857,0.006164
28/04/2022,1,53,8762,63,0.000132571,0.005840571,0.969115143,0.007004
29/04/2022,1,43,7726,63,0.000165714,0.005364714,0.968492429,0.007844
