Date,original,alpha,delta,omicron,pororig,poralp,pordlt,poromi
31/01/2021,0,0,0,0,0,0,0,0
01/02/2021,0,0,0,0,0,0,0,0
02/02/2021,0,0,0,0,0,0,0,0
03/02/2021,0,0,0,0,0,0,0,0
04/02/2021,0,0,0,0,0,0,0,0
05/02/2021,0,0,0,0,0,0,0,0
06/02/2021,0,0,0,0,0,0,0,0
07/02/2021,0,0,0,0,0,0,0,0
08/02/2021,0,0,0,0,0,0,0,0
09/02/2021,0,0,0,0,0,0,0,0
10/02/2021,0,0,0,0,0,0,0,0
11/02/2021,0,0,0,0,0,0,0,0
12/02/2021,0,0,0,0,0,0,0,0
13/02/2021,0,0,0,0,0,0,0,0
14/02/2021,0,0,0,0,0,0,0,0
15/02/2021,0,0,0,0,0,0,0,0
16/02/2021,0,0,0,0,0,0,0,0
17/02/2021,0,0,0,0,0,0,0,0
18/02/2021,0,0,0,0,0,0,0,0
19/02/2021,0,0,0,0,0,0,0,0
20/02/2021,0,0,0,0,0,0,0,0
21/02/2021,0,0,0,0,0,0,0,0
22/02/2021,0,0,0,0,0,0,0,0
23/02/2021,0,0,0,0,0,0,0,0
24/02/2021,0,0,0,0,0,0,0,0
25/02/2021,0,0,0,0,0,0,0,0
26/02/2021,0,0,0,0,0,0,0,0
27/02/2021,0,0,0,0,0,0,0,0
28/02/2021,0,0,0,0,0,0,0,0
01/03/2021,0,0,0,0,0,0,0,0
02/03/2021,0,0,0,0,0,0,0,0
03/03/2021,0,0,0,0,0,0,0,0
04/03/2021,0,0,0,0,0,0,0,0
05/03/2021,0,0,0,0,0,0,0,0
06/03/2021,0,0,0,0,0,0,0,0
07/03/2021,0,0,0,0,0,0,0,0
08/03/2021,0,0,0,0,0,0,0,0
09/03/2021,0,0,0,0,0,0,0,0
10/03/2021,0,0,0,0,0,0,0,0
11/03/2021,0,0,0,0,0,0,0,0
12/03/2021,0,0,0,0,0,0,0,0
13/03/2021,0,0,0,0,0,0,0,0
14/03/2021,0,0,0,0,0,0,0,0
15/03/2021,0,0,0,0,0,0,0,0
16/03/2021,0,0,0,0,0,0,0,0
17/03/2021,0,0,0,0,0,0,0,0
18/03/2021,0,0,0,0,0,0,0,0
19/03/2021,0,0,0,0,0,0,0,0
20/03/2021,0,0,0,0,0,0,0,0
21/03/2021,0,0,0,0,0,0,0,0
22/03/2021,1,0,0,0,0.000167429,0,0,0
23/03/2021,2,0,0,0,0.000334857,0,0,0
24/03/2021,3,0,0,0,0.000502286,0,0,0
25/03/2021,3,0,0,0,0.000669714,0,0,0
26/03/2021,3,0,0,0,0.000837143,0,0,0
27/03/2021,3,0,0,0,0.001004571,0,0,0
28/03/2021,5,0,0,0,0.001172,0,0,0
29/03/2021,7,0,0,0,0.002156714,0,0,0
30/03/2021,10,0,0,0,0.003141429,0,0,0
31/03/2021,14,0,0,0,0.004126143,0,0,0
01/04/2021,16,0,0,0,0.005110857,0,0,0
02/04/2021,14,0,0,0,0.006095571,0,0,0
03/04/2021,15,0,0,0,0.007080286,0,0,0
04/04/2021,16,0,0,0,0.008065,0,0,0
05/04/2021,25,0,0,0,0.010606,0,0,0
06/04/2021,36,0,0,0,0.013147,0,0,0
07/04/2021,43,0,0,0,0.015688,0,0,0
08/04/2021,48,0,0,0,0.018229,0,0,0
09/04/2021,52,0,0,0,0.02077,0,0,0
